               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069681,            0.031777,            0.054773,             0.15427,            0.085664,          0.00029698,          0.00010161,             0.11018,              1.3911,             0.20695,            0.070435,            0.003285,            0.003285
                   1,            0.060882,            0.030914,             0.04747,             0.77041,            0.046154,            0.016912,           0.0073344,             0.12024,              1.0923,             0.13492,            0.040375,           0.0065588,           0.0065588
                   2,            0.061048,            0.030892,              0.0458,             0.42402,            0.085108,           0.0030541,           0.0012539,              0.1103,             0.88199,             0.24829,            0.010256,           0.0097726,           0.0097726
                   3,            0.057264,            0.030206,            0.043614,             0.23529,            0.032848,           0.0029777,          0.00057339,            0.092292,            0.053956,            0.066431,             0.00973,             0.00973,             0.00973
                   4,            0.056791,            0.029968,            0.042062,             0.58115,            0.019231,            0.026131,            0.012461,            0.094819,            0.027659,            0.097683,             0.00973,             0.00973,             0.00973
                   5,            0.055607,            0.029771,            0.040275,             0.47806,            0.059922,            0.017408,            0.005356,            0.068196,            0.022525,            0.053134,             0.00964,             0.00964,             0.00964
                   6,            0.055264,            0.028662,            0.038274,             0.51927,              0.1007,            0.039978,              0.0114,             0.06705,            0.038126,            0.073791,             0.00955,             0.00955,             0.00955
                   7,            0.055046,            0.029539,            0.037534,             0.74368,            0.022028,            0.021552,           0.0077784,            0.076316,            0.017319,            0.053487,             0.00946,             0.00946,             0.00946
                   8,            0.053797,            0.028647,             0.03661,             0.77745,            0.081907,             0.10821,            0.035619,            0.064601,            0.019458,            0.040684,             0.00937,             0.00937,             0.00937
                   9,            0.053831,            0.029344,            0.034392,             0.69681,            0.085044,             0.10259,            0.037064,             0.09048,            0.026074,             0.69768,             0.00928,             0.00928,             0.00928
                  10,            0.051882,            0.028824,            0.032769,             0.59115,              0.1332,              0.1246,            0.051574,            0.061634,             0.01826,            0.041221,             0.00919,             0.00919,             0.00919
                  11,            0.052613,            0.029326,            0.033011,             0.61002,            0.091855,              0.1377,             0.05554,            0.062538,            0.018752,            0.039648,              0.0091,              0.0091,              0.0091
                  12,            0.051686,            0.027776,             0.03191,             0.57335,            0.095707,             0.12348,            0.051221,            0.064959,            0.018847,             0.03911,             0.00901,             0.00901,             0.00901
                  13,            0.052843,            0.029313,            0.029849,              0.6696,             0.12802,             0.14035,            0.049865,            0.060997,            0.028534,            0.043132,             0.00892,             0.00892,             0.00892
                  14,            0.052195,            0.028961,            0.029001,             0.55051,             0.18298,             0.17924,            0.083167,            0.065398,             0.01607,            0.040658,             0.00883,             0.00883,             0.00883
                  15,            0.051572,            0.027972,            0.027604,             0.69453,             0.18942,             0.15449,            0.076041,            0.064009,            0.017031,            0.051734,             0.00874,             0.00874,             0.00874
                  16,            0.051088,             0.02848,            0.028516,             0.54145,             0.13175,             0.12836,            0.059672,            0.064331,             0.01768,            0.043128,             0.00865,             0.00865,             0.00865
                  17,             0.05068,            0.028276,            0.027022,             0.74312,             0.13557,             0.15512,            0.058001,            0.061964,            0.017455,            0.039135,             0.00856,             0.00856,             0.00856
