               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058671,             0.03312,            0.053999,              0.9351,             0.12238,             0.11642,            0.052796,            0.064385,            0.016144,            0.045373,            0.067145,          0.00033187,          0.00033187
                   1,            0.051172,            0.031021,            0.041593,             0.61466,               0.161,             0.15658,            0.075574,            0.055124,            0.014233,            0.036721,            0.034139,          0.00065922,          0.00065922
                   2,            0.049615,            0.030991,            0.034385,             0.74505,             0.16334,             0.18386,            0.074408,            0.055076,            0.017386,            0.034147,           0.0011268,          0.00098056,          0.00098056
                   3,             0.04742,             0.03001,            0.029559,             0.63793,             0.27325,             0.26935,             0.12264,            0.053375,            0.014676,            0.032586,            0.000973,            0.000973,            0.000973
                   4,            0.046314,            0.030101,            0.027717,              0.6005,             0.27032,             0.29813,             0.12649,            0.054195,            0.013283,            0.031631,            0.000973,            0.000973,            0.000973
                   5,             0.04538,             0.03012,            0.025882,             0.60946,             0.31307,             0.31539,             0.13466,            0.054648,             0.01347,            0.027537,            0.000964,            0.000964,            0.000964
                   6,            0.044565,             0.02999,            0.024653,             0.63342,             0.29645,               0.276,             0.10908,            0.056532,             0.01386,            0.029645,            0.000955,            0.000955,            0.000955
                   7,            0.044208,             0.02933,            0.023908,             0.61449,             0.25305,             0.27216,             0.11612,            0.053569,            0.013511,             0.02814,            0.000946,            0.000946,            0.000946
                   8,            0.043201,            0.030433,            0.022965,             0.65622,             0.31841,               0.333,             0.15081,            0.050939,             0.01317,            0.028292,            0.000937,            0.000937,            0.000937
                   9,            0.042865,            0.029616,            0.022272,             0.68008,             0.34461,             0.33871,             0.14742,            0.050283,            0.013218,            0.028443,            0.000928,            0.000928,            0.000928
                  10,             0.04235,            0.029317,            0.021431,             0.64331,             0.27938,             0.28772,              0.1291,            0.049956,            0.013315,             0.02807,            0.000919,            0.000919,            0.000919
                  11,            0.041868,            0.029252,             0.02135,             0.68464,             0.36884,             0.35886,             0.17696,            0.051824,            0.013145,            0.029546,             0.00091,             0.00091,             0.00091
                  12,            0.041571,            0.029626,            0.020552,             0.67668,             0.30632,             0.32618,             0.16299,            0.053565,            0.012833,            0.028945,            0.000901,            0.000901,            0.000901
                  13,            0.041669,            0.029089,            0.020357,             0.65091,             0.36526,             0.32835,               0.166,            0.050263,            0.013627,            0.027131,            0.000892,            0.000892,            0.000892
                  14,            0.041488,            0.029136,            0.020014,             0.58177,             0.30791,              0.3477,              0.1873,            0.049074,            0.012776,            0.030277,            0.000883,            0.000883,            0.000883
                  15,            0.040719,            0.029172,            0.019479,             0.70515,             0.35283,             0.36182,             0.17276,            0.048747,            0.013611,            0.030996,            0.000874,            0.000874,            0.000874
                  16,            0.040759,            0.028714,            0.019374,             0.72614,             0.32704,             0.36062,             0.17604,             0.04932,            0.013202,            0.028709,            0.000865,            0.000865,            0.000865
                  17,            0.040344,            0.029024,            0.018819,             0.72281,             0.34237,             0.36446,             0.17114,            0.049001,            0.013171,            0.026916,            0.000856,            0.000856,            0.000856
